SMILES,butina_clusters,split,test_subset
CCCn1c(SCC(=O)NCc2cccs2)nc2c1c(=O)n(C)c(=O)n2C,9,train,False
COc1ccc(OC)c(C(=O)CSc2nnnn2C)c1,90,train,False
CC(=O)OCC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(=O)Nc1ccc(C)cc1C,4353,test,False
Cn1c(=O)[nH]c(=O)c2c1nc(SCCN1CCCCC1)n2Cc1ccccc1,134,train,False
CCCN(Cc1ccccc1)S(=O)(=O)c1ccc(N2C(=O)CCC2=O)cc1,269,train,False
CCOC(=O)c1c(CN2CCOCC2)oc2ccc(OC)cc12,370,train,False
CCCCCCCCCC[N+](C)(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,7388,train,False
CC(=O)OC(C(=O)NC1CCCCC1)c1ccncc1,12,train,False
CC(Cc1c[nH]c2ccccc12)NC(=O)OCC[N+](C)(C)C,109,train,False
CCc1nnc(NC(=O)CSc2nnc(-c3cccnc3)n2CCc2ccccc2)s1,44,train,False
COc1ccc(OCC(=O)Nc2cccc(OC)c2)cc1,0,train,False
[N-]=[N+]=CC(=O)OC[C@H](N)C(=O)O,9750,train,False
COc1ccccc1N(CC(=O)NC1CCCCC1)C(=O)CCC(=O)Nc1ccccn1,12,train,False
Nc1ccc(Cl)c[n+]1Cc1cccc2cccnc12,2855,test,False
C=CCn1c(O)c(CN2CCN(Cc3ccccc3)CC2)c(C)c(C#N)c1=O,2002,test,False
Cc1cc(C)c2[nH]c(=O)c(CN(Cc3ccc4c(c3)OCO4)Cc3nnnn3C3CCCC3)cc2c1,1106,train,False
CCn1c(SCC(=O)NCc2cccs2)nnc1-c1ccco1,13,train,False
CCC(C)(C)n1nnnc1C(c1ccncc1)N1CCN(c2cccc(OC)c2)CC1,226,train,False
Cc1cc(C)n2nc(C)[n+](C)c2n1,1582,train,False
CCC(=O)Nc1ccc(NC(=O)CSc2nnnn2C(C)C)cc1,9,train,False
CSc1ccc2[nH]c(=O)cc(C)c2c1,4312,val,False
O=C(C[n+]1cc2ccccc2c2ccccc21)c1ccccc1,2313,val,False
C[N+]1(C)CC2=Cc3ccccc3CC2C1,11404,val,False
Cc1cc(-c2ccccc2)nc(=O)[nH]1,1369,train,False
Cn1c(CSc2nc3ccccc3s2)nc2ccccc21,84,train,False
CCCC(OC(=O)CC1Sc2ccccc2NC1=O)C(=O)NCc1ccco1,420,val,False
CC(C)Oc1ccc(C2NC(=O)NC2=O)cc1,5012,test,False
COc1cc(NS(=O)(=O)c2ccc(Br)cc2)c(OC)cc1NC(=O)c1ccco1,19,train,False
CC(C)(CO)C(O)C(=O)NCCC(=O)[O-],9855,val,False
CCOc1ccc(NC(=O)Cn2nnc(-c3ccccc3F)n2)cc1,15,train,False
Fc1ccc(SCCc2cccc[nH+]2)cc1,4763,test,False
CC1(C)SC2C(N3C(=O)C(c4ccccc4)NC3(C)C)C(=O)N2C1C(=O)[O-],3277,val,False
O=C(Cn1nnc(-c2ccncc2)n1)NCCc1ccccc1,2,train,False
NC(=O)c1nsc(C(=O)N(c2ccccc2F)C(C(=O)NCc2ccc(F)cc2)c2ccc(O)cc2)c1N,733,train,False
CCCCC(=O)N/N=C/c1c(O)n(Cc2ccco2)c(=O)[nH]c1=O,748,train,False
COc1cccc(OCCNc2cc(N3CCCCC3)ccc2[N+](=O)[O-])c1,42,train,False
COc1ccccc1OCCn1cc(C(=O)c2ccco2)c2ccccc21,401,val,False
CCOCCN1CCN(c2c(C)c(C)nc3cc(-c4cc(OC)cc(OC)c4)nn23)CC1,8506,train,False
CCOC(=O)Cc1nnc2c(Nc3ccc(C)cc3)nc3nonc3n12,8513,val,False
COc1ccc(CNC(=O)CSc2ncnc3nc[nH]c23)cc1,40,train,False
Cc1ccc(Nc2nc(C(=O)NCc3ccco3)cs2)cc1,13,train,False
CCn1c(=O)c(C(=O)Nn2c(C)nc3ccccc3c2=O)c(O)c2ccccc21,9,train,False
CCNc1nc(NC#N)nc(SCC(=O)OCC)n1,460,train,False
CCOC(=O)c1cc2occc2n1CCCN1C(=O)c2ccccc2C1=O,240,train,False
Cc1occc1-c1nnc(SCC(=O)c2ccc(Cl)cc2)n1CC1CCCO1,244,train,False
COc1ccc(OCc2cccc(C(=O)N3CCCC3)c2)cc1,11,train,False
CCC(C)(C)n1nnnc1CN(Cc1cc2cc(OC)c(OC)cc2[nH]c1=O)C1CCCC1,3143,val,False
O=C1CCCCCN1C(=O)c1cccc(C(=O)N2CCCCCC2=O)c1,26,train,False
COc1cccc(C2(O)CCN(C(=O)C3CCC3)CC2)c1,33,train,False
Cc1ccc(C(=O)Nc2ccc(Cl)cn2)cc1,129,train,False
Cc1ccc2cc3c(N)c(C(=O)N4CCOCC4)sc3nc2c1,729,train,False
CCN(CC)C(=O)Nc1ccc2c(c1)nnn2C,3164,test,False
COc1ccc(Cl)cc1S(=O)(=O)Nc1cccc(C(=O)O)c1,19,train,False
CCCN1CCc2c(sc(NC(=O)c3ccc(S(=O)(=O)N4CCN(C(=O)OCC)CC4)cc3)c2C(N)=O)C1,17,train,False
O=C(NC1CCCCC1)C(c1ccncc1)N(CC1CCCO1)C(=O)C(F)(F)F,130,train,False
Nc1ccc(C(=O)[O-])c(O)c1,8749,val,False
Cc1ccc[n+](CC(=O)Nc2ccc(N(C)C)cc2)c1,1021,test,False
CCOc1ccc2nc(NC(=O)COC)sc2c1,28,train,False
COc1ccc(OC)c(S(=O)(=O)n2cccn2)c1,33,train,False
CCCCCCC(=O)Nc1c(O)c2ccccc2[nH]c1=O,188,train,False
Cc1ccc(=O)n(C(C(=O)NCc2ccco2)C(=O)c2ccc(F)cc2)c1,13,train,False
CCOc1ccc2c(c1)cc(CN(C(=O)CC)C1CCCCC1)c1nnnn12,4174,test,False
CCOC(=O)CCc1c(C)nc(SCC(=O)O)c(C#N)c1C,460,train,False
O=S(=O)([O-])NC1CCCCC1,2112,test,False
COC(=O)c1ccccc1NC(=O)CN1C(=O)CSC1=O,4,train,False
Cc1nn(-c2ccccc2)c2[nH]c(=O)c(CNCc3ccc4c(c3)OCO4)cc12,72,train,False
CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC,9093,val,False
CCOC(=O)c1ccc(S(=O)(=O)NCC[NH+]2CCOCC2)cc1,74,train,False
O=C(Nc1cccc(C(F)(F)F)c1)N1CCC(c2nc(-c3ccc(F)cc3)no2)CC1,62,train,False
Cc1ccc(Cl)cc1N1CCN(C(CC(C)C)c2nnnn2CC2CCCO2)CC1,1858,test,False
Cc1ccc(NC(=O)COC(=O)c2ccn(C)n2)cc1,25,train,False
CCCOC(=O)CN1C(=O)c2ccccc2C1=O,89,train,False
CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,372,train,False
Cc1oc2ncnc(N)c2c1C,10684,test,False
CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)NC2(CCN(CC(C)C)CC2)N=5)=NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,8411,val,False
COc1cc(NC(=O)CSc2nnc(C)s2)cc(OC)c1,16,train,False
Cc1cc(C2C(=O)CC(=O)CC2c2ccccc2)on1,4579,test,False
CCCCN(CCCC)CCNC(=O)c1cn(C)c2ccc(S(=O)(=O)N(C)C3CCCCC3)cc2c1=O,146,train,False
O=C([O-])Cc1ccccc1,0,train,False
COc1ccc(-c2cc(C(F)(F)F)nc(SCCC(=O)Nc3cc(C)on3)n2)cc1,25,train,False
COc1cccc2cc(-c3nnc(SCC(=O)Nc4nc(C)cs4)n3C)oc12,13,train,False
COc1ccc(C2(O)CN(c3ccc(C)cc3)C3=[N+]2CCCC3)cc1,6227,train,False
O=C(Cn1nc(-c2ccc3c(c2)OCCO3)ccc1=O)Nc1ccc(N2CCOCC2)cc1,278,val,False
Cc1ccc2cc(C#N)c(NCc3ccco3)nc2c1,966,train,False
O=C(NCc1ccco1)C(c1ccncc1)N(CCC1=CCCCC1)C(=O)Cn1nnc2ccccc21,500,train,False
CCCn1c(/C=C/c2cc[n+](C)cc2)nc2ccccc21,1025,train,False
COc1ccccc1Cc1noc(C(C)(C)NC(=O)c2ccccc2)n1,3719,test,False
COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCCC(=O)O)C2c2ccc(OC)cc2)cc1,448,train,False
N#CCSc1nnc(-c2ccccc2O)n1CCc1ccccc1,546,train,False
CCN(CC)CCNC(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1,32,train,False
COc1ccc(Cl)cc1NC(=O)CSc1nnc(COc2ccccc2)n1C,22,train,False
COc1ccccc1CNc1ncnc2c1nnn2Cc1ccccc1,1542,test,False
O=C(Nc1c(-c2ccccc2)nc2ccc(Cl)cn12)c1cccs1,48,train,False
COCCCn1c(Cc2csc(Nc3cccc(Cl)c3)n2)nnc1SCC(=O)OC,2160,val,False
O=C1OC(Nc2nc3ccccc3s2)c2ccccc21,145,train,False
CCCN(Cc1ccc(C)o1)Cc1ccc(C)o1,3895,test,False
C[N+]1(CN2C(=O)C3C4C=CC(C4)C3C2=O)CCCCC1,640,train,False
NC(=O)C1CCCN1S(=O)(=O)c1ccc2ccccc2c1,83,train,False
O=C(N/N=C/c1ccc(-c2cccc(C(F)(F)F)c2)o1)c1ccccc1O,613,train,False
COc1cc(C(=O)OCC(=O)NCc2ccc(F)cc2)cc(NC(=O)c2cccs2)c1OC,87,train,False
CNc1ccccc1C(C)(C)c1cc(-c2cc(C)cc(C)c2)no1,6499,val,False
Nc1ncnc(NC2CCS(=O)(=O)C2)c1[N+](=O)[O-],3633,val,False
Cc1ccc(C)c(C(=O)CC2(O)C(=O)Nc3ccccc32)c1,3687,test,False
C[n+]1ccc(/C=N/Nc2nc(Cl)c(C#N)c(Cl)c2Cl)cc1,4764,val,False
O=C(COC(=O)c1ccc(=O)n(Cc2ccccc2)n1)Nc1ccc2c(c1)OCCO2,10,train,False
CC[n+]1c(/C=C/c2ccc(N(C)C)cc2)ccc2ccccc21,4989,train,False
COc1cc(Cl)ccc1S(=O)(=O)n1nc(C)cc1C,1847,val,False
CN(c1ccccc1)S(=O)(=O)c1ccc(C(=O)NCCc2ccc(F)cc2)cc1,2,train,False
CC1CCN(C(=O)CSc2nnc(CSc3ncccn3)n2C)CC1,84,train,False
OC[C@H]1O[C@@H](n2cnc3c(Nc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,3276,train,False
CCC(C)(C)n1nnnc1C(c1ccc2ncccc2c1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,510,test,False
Cc1ccc2c(c1)c(C)c(C)n2CC(O)Cn1nnc2ccccc21,2549,train,False
COCCNC(=O)C(c1cccs1)N(C(=O)Cn1nnc2ccccc21)c1ccccc1,248,train,False
O=C(CSc1nnc(NC(=O)C2CCC2)s1)Nc1ccc(N2CCOCC2)cc1,23,train,False
Cn1cccc1/C=C1\CC(C(C)(C)C)C/C(=C\c2cccn2C)C1=O,6636,test,False
Cc1ccc2c(c1)c1ncnc(N(C)C)c1n2C,4190,train,False
O=C(NCC(=O)N(c1cccnc1)C(C(=O)NC1CCCC1)c1ccco1)c1cccs1,112,train,False
O=C(c1ccccc1F)N1CCC(O)(c2cccnc2)CC1,1919,train,False
O=C(c1cccc2ccccc12)N1CCN(c2ccccc2F)CC1,82,train,False
O=C(NCCO)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,7,train,False
COC(=O)c1cn(CCOc2ccc(C)cc2)c2ccccc12,199,train,False
O=C(NCC1CCCO1)c1c(O)c2ccccc2[nH]c1=O,20,train,False
CC(=O)NC1(c2cccc(F)c2)CCN(C(=O)Nc2ccc(C#N)cc2)CC1,5424,train,False
COc1cc(NC(=O)CCN2CCN(c3ccccc3F)CC2)cc(OC)c1,0,train,False
O=C(c1ccco1)N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,26,train,False
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)([O-])O)c2cc1C,9888,val,False
CCOc1ccc(-c2nnc(-c3cccnc3)o2)cc1OCC,486,train,False
CCOC(=O)C1=C(CN2CCN(c3ccc(F)cc3)CC2)NC(=O)NC1c1cccs1,159,train,False
Cc1cccc(OCC(=O)Nc2c3c(nn2C(C)(C)C)CS(=O)(=O)C3)c1,360,val,False
CCOC(=O)[C@@H]1[C@H]2COc3ccccc3[C@H]2N2C(=O)N(c3cccc(F)c3)C(=O)[C@]12C,2453,train,False
CC(C)N(C(=O)CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O)C(C)C,1769,val,False
CCCCCC[N+](C)(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,7388,train,False
O=C1c2cccnc2Oc2ccc(Cl)cc2N1Cc1ccc(F)cc1,2968,test,False
CCCCNC(=O)C(c1ccc(-c2ccccc2)cc1)N(CCN1CCOCC1)C(=O)CCCCCN1C(=O)NC(c2ccc([N+](=O)[O-])cc2)C(C(=O)OCc2ccccc2)=C1C,2530,train,False
Cc1ccc(C)c2nc3sc(C(=O)N4CCOCC4)c(N)c3cc12,745,val,False
NC(=O)c1ccc[n+](CC(=O)c2ccc(Cl)c(Cl)c2)c1,570,train,False
CSc1nnc(N)n1C(=O)Nc1ccc(Cl)cc1,50,train,False
O=C(O)Cc1ccc(O)c(O)c1,3230,test,False
CCCCc1c(O)nc(SCC(=O)N2CCOCC2)[nH]c1=O,512,train,False
CC(=O)COc1cccc2ccc(/C=C/c3ccc(Br)s3)nc12,2668,val,False
Cc1ccc(-n2c(-c3ccccc3)c[n+]3c2CCC3)cc1,6336,val,False
Fc1ccc(-n2cc(-c3ccccc3)[n+]3c2SCC3)cc1,8858,train,False
CNC(=O)OCCc1n(C)cc[n+]1C,10676,val,False
O=C([O-])c1cc([N+](=O)[O-])ccc1Nc1ccccc1,34,train,False
CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,12760,train,False
C=CCOc1ccc(C2C3=C(CCCC3=O)N(CC(=O)O)C3=C2C(=O)CCC3)cc1OCC,3153,train,False
CCCCN(CC)C(=O)Cn1cnc2ccc(S(=O)(=O)N3CCC(C)CC3)cc2c1=O,94,train,False
CCOC(=O)Cn1nc(C)c(NC(=O)COc2ccc(C)c(C)c2)c1C,25,train,False
Cc1nn(C(C)C(=O)NCCCN(Cc2ccccc2)C(C)C)c(=O)c2c1sc1ccccc12,4171,train,False
Cc1c(C(=O)NCc2ccccn2)oc2ccc(S(=O)(=O)N3CCC4(CC3)OCCO4)cc12,307,train,False
COc1ccc(CCC(=O)NCCc2ccc(Cl)cc2)cc1,0,train,False
COc1ccc2[nH]cc(CCNC(=O)Cc3ccc(F)cc3)c2c1,177,train,False
CCn1c(SCC(=O)N/N=C/c2ccccc2OCC(=O)O)nnc1-c1ccc(C)cc1,13,train,False
CC(=O)N1c2ccc(S(=O)(=O)NCCC(=O)Nc3ccc(F)cc3)cc2CC1C,77,train,False
Cc1cc(C)c(OCCNC(=O)c2ccccc2Sc2ccccc2C#N)c(C)c1,263,train,False
CCc1cccc(C)c1NC(=O)COC(=O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,28,train,False
Cc1cccc(C)c1NC(=O)C1c2cccc[n+]2CC(=O)N1Cc1ccc2c(c1)OCO2,10,train,False
Cc1ccc[n+](CC2OCc3ccccc3CO2)c1,8539,test,False
Clc1cccc(Cl)c1-c1noc(CN2CCOCC2)n1,192,train,False
Cc1cc[n+](-c2ccccc2)c2ccccc12,10007,val,False
CCc1ccc(/C=C/c2c[nH]c3ccccc23)[n+](CC)c1,4407,val,False
CCOC(=O)c1sc(NC(=O)CS(=O)(=O)c2ccc(C)cc2)nc1C,61,train,False
CCc1cc(=O)oc2c(C)c(OC(C)C(=O)N3CC[C@@]4(O)CCCC[C@H]4C3)ccc12,1440,val,False
COc1ccc(-c2cc3cc(C(=O)[O-])ccn3c2C(=O)c2ccccc2)cc1,1857,val,False
COc1ccc(CCNC(=O)C2CCN(S(=O)(=O)N3CCC(C)CC3)CC2)cc1OC,2,train,False
COc1ccc(C(=O)CC(=O)C(=O)Nc2ccc(OC)c(Cl)c2)cc1,0,train,False
CC(C)(C)c1cc(OC(=O)Cc2ccccc2)ccc1O,0,train,False
CSCCC(NC(=O)c1ccc(C(C)(C)C)cc1)C(=O)O,252,train,False
CCc1cc[n+](CC(=O)Nc2ccc(Cl)cc2Cl)cc1,198,train,False
N#CC[N+]1(CCCNP2(=O)C=C(c3ccccc3)OC(c3ccccc3)=C2)CCOCC1,10018,test,False
O=C(Nc1ccccc1Cl)c1cc[n+](Cc2ccc([N+](=O)[O-])cc2)cc1,125,train,False
COc1ccccc1OCCCC(=O)Nc1ccc([N+](=O)[O-])cc1Br,51,train,False
CC(C)N(CC(O)COc1ccc(CC(N)=O)cc1)CC(O)COc1ccc(CC(N)=O)cc1,317,train,False
COc1ccc(NS(=O)(=O)c2ccc(NC(=O)c3ccc(CN4CCOCC4)cc3)cc2)cc1,1,train,False
CC1=CC(=Cc2sc3ccccc3[n+]2C)C=C(C)O1,10520,val,False
C[n+]1nc(Nc2cccc(F)c2)sc1-c1ccc(C(=O)O)cc1,1889,val,False
O/N=C(\C[n+]1ccccc1)c1ccc(Br)cc1,7119,test,False
O=C([O-])c1cc(-c2cccnc2)nc2ccccc12,45,train,False
CCCC/C([O-])=N\S(=O)(=O)c1ccc(N=NN(C)C)cc1,6391,train,False
Cn1c(-c2ccccc2)c[n+]2c1CCCCC2,6336,val,False
OC1(c2cccs2)CN(c2ccc(Cl)cc2)C2=[N+]1CCCS2,9027,val,False
O=C(C[n+]1ccccc1)N/N=C/c1ccc(Cl)c(Cl)c1,104,train,False
COc1ccccc1NC(=O)c1cc[n+](C)cc1,2,train,False
CCOC(=O)C[N+](CC)(CC)CC#Cc1ccccc1,590,train,False
CC1(C)CC(N2CCN(c3ccccc3)CC2)=CC(=[N+]2CCCC2)C1,6892,test,False
C[n+]1ccn(CC(=O)c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c1,4368,test,False
CCN1/C(=C/C=C/c2oc3ccc4ccccc4c3[n+]2CC)Oc2ccc3ccccc3c21,12901,val,False
